min_wss max_wss min_wss_aneurysm max_wss_aneurysm min_wss_vessels max_wss_vessels mean_wss std_wss mean_wss_aneurysm std_wss_aneurysm mean_wss_vessels std_wss_vessels min_osi_aneurysm max_osi_aneurysm mean_osi_aneurysm std_osi_aneurysm min_tawss_aneurysm max_tawss_aneurysm mean_tawss_aneurysm std_tawss_aneurysm KER VDR LSA HSA SCI ICI
0.33700 31.16797 0.33700 31.16797 1.98667 25.22060 6.29611 3.91204 2.16238 3.93402 7.83485 2.55173 0.00000 0.02445 0.00052 0.00160 0.00653 0.91840 0.06398 0.11566 0.11460 0.27902 0.89995 0.03008 9.21392 0.46467
0.18343 67.90476 0.18343 67.90476 1.79623 54.44772 12.21712 8.15312 6.07731 9.22577 14.50262 6.34651 0.00000 0.30110 0.00317 0.01094 0.02788 3.35287 0.25674 0.43306 0.24490 0.42054 0.83995 0.04853 6.50585 0.45748
0.01886 63.88685 0.01886 63.88685 1.18797 52.09674 11.40317 7.67168 6.78373 8.78487 13.12271 6.41368 0.00000 0.47947 0.01505 0.03797 0.07816 6.84284 0.61475 0.91151 0.30247 0.49479 0.76655 0.05587 5.45002 0.45489
0.12692 49.39194 0.12692 49.39194 1.39362 40.38055 8.85465 5.89481 4.32168 6.28610 10.54201 4.74117 0.00005 0.42375 0.01635 0.03787 0.10915 9.60432 0.88225 1.27070 0.21381 0.41220 0.86533 0.03903 6.98241 0.45350
0.08853 48.48339 0.08853 48.48339 1.43921 39.18256 8.67808 5.77961 4.12789 6.30492 10.37185 4.52382 0.00010 0.36690 0.01436 0.03406 0.12246 12.03025 1.08864 1.57997 0.21098 0.40170 0.86427 0.04052 7.13621 0.46168
0.05681 43.88445 0.05681 43.88445 1.14931 35.20554 7.86904 5.25550 3.86580 5.79354 9.35921 4.14984 0.00008 0.34301 0.01268 0.03097 0.13358 14.37442 1.29250 1.88805 0.22149 0.41393 0.85683 0.04084 7.01776 0.45801
0.10720 33.65677 0.10720 33.65677 1.12737 27.05573 6.17259 4.04901 2.77553 4.30798 7.43711 3.11355 0.00008 0.35515 0.01166 0.02914 0.13813 16.29261 1.45893 2.13850 0.18286 0.37850 0.87430 0.03691 7.53018 0.45223
0.03577 38.41705 0.03577 38.41705 1.42995 30.67617 7.04531 4.62684 2.93275 4.91100 8.57618 3.42920 0.00008 0.38885 0.01128 0.02882 0.14832 18.04028 1.59426 2.35916 0.16656 0.34602 0.88092 0.03566 8.10341 0.45831
0.12069 40.47373 0.12069 40.47373 1.24017 32.50525 7.36631 4.85713 3.44137 5.35050 8.82733 3.72129 0.00007 0.38886 0.01100 0.02867 0.16887 20.03264 1.75733 2.62006 0.20349 0.39224 0.86447 0.03984 7.26862 0.45481
0.06893 37.44486 0.06893 37.44486 1.14275 30.02561 6.79850 4.49302 3.13891 4.89188 8.16075 3.45729 0.00007 0.38265 0.01031 0.02735 0.17967 21.98627 1.92379 2.87822 0.19613 0.38649 0.87000 0.03832 7.41183 0.45892
0.07545 32.71356 0.07545 32.71356 1.10852 26.26107 6.00381 3.93636 2.63077 4.20456 7.25940 2.97834 0.00007 0.38828 0.00979 0.02633 0.18858 23.72486 2.06771 3.10442 0.17757 0.36679 0.87517 0.03666 7.72422 0.45770
0.10634 29.33014 0.10634 29.33014 1.08271 23.56500 5.45304 3.54803 2.28379 3.74922 6.63276 2.62896 0.00007 0.38663 0.00950 0.02569 0.19453 25.25642 2.18987 3.30134 0.16403 0.34931 0.87896 0.03539 7.97904 0.45885
0.06753 27.45389 0.06753 27.45389 1.08728 22.09178 5.16251 3.33496 2.10229 3.50751 6.30165 2.42875 0.00007 0.37099 0.00939 0.02533 0.20319 26.65420 2.29895 3.48052 0.15631 0.33819 0.88163 0.03493 8.12640 0.45872
0.05608 26.15645 0.05608 26.15645 1.05396 21.07650 4.94793 3.18475 1.99942 3.34782 6.04548 2.30333 0.00007 0.35260 0.00940 0.02517 0.21335 27.97733 2.40147 3.65033 0.15455 0.33499 0.88277 0.03493 8.14048 0.45983
0.05078 24.61430 0.05078 24.61430 1.01723 19.85611 4.68759 3.00494 1.87183 3.14541 5.73574 2.15828 0.00007 0.35715 0.00945 0.02508 0.22384 29.22921 2.49835 3.81109 0.15108 0.33068 0.88460 0.03440 8.20552 0.46051
0.03570 22.86994 0.03570 22.86994 0.97700 18.47579 4.39265 2.80371 1.72147 2.91311 5.38697 1.99581 0.00007 0.35719 0.00952 0.02506 0.23427 30.39941 2.58821 3.96082 0.14610 0.32415 0.88385 0.03327 8.35682 0.45998
0.01628 20.98430 0.01628 20.98430 0.94844 16.99182 4.07680 2.58563 1.56034 2.66254 5.01354 1.81673 0.00007 0.35353 0.00963 0.02514 0.24479 31.48860 2.67025 4.09818 0.14003 0.31634 0.88722 0.03214 8.51711 0.46020
0.03449 19.75714 0.03449 19.75714 0.97282 16.03724 3.90214 2.45430 1.44073 2.49656 4.81838 1.68849 0.00007 0.35652 0.00980 0.02535 0.25544 32.50181 2.74488 4.22415 0.13131 0.30453 0.89215 0.03115 8.72236 0.46160
