min_wss max_wss min_wss_aneurysm max_wss_aneurysm min_wss_vessels max_wss_vessels mean_wss std_wss mean_wss_aneurysm std_wss_aneurysm mean_wss_vessels std_wss_vessels min_osi_aneurysm max_osi_aneurysm mean_osi_aneurysm std_osi_aneurysm min_tawss_aneurysm max_tawss_aneurysm mean_tawss_aneurysm std_tawss_aneurysm KER VDR LSA HSA SCI ICI
0.27503 21.61029 0.27503 21.61029 1.97611 18.73770 7.38576 3.24599 4.65330 5.02484 7.84630 2.56636 0.00000 0.36368 0.00087 0.01198 0.00574 0.63399 0.13618 0.14790 0.25591 0.54783 0.70571 0.08715 3.93634 0.52759
0.96658 49.73794 0.96658 49.73794 1.67243 43.65625 14.17602 7.54504 11.63187 11.94537 14.60482 6.41854 0.00001 0.31319 0.00520 0.01969 0.09986 2.37432 0.52895 0.55375 0.34398 0.66539 0.62543 0.15777 3.04515 0.52615
0.22522 46.39397 0.22522 46.39397 1.19265 41.48569 12.84386 7.41514 11.19683 11.11243 13.12146 6.55014 0.00004 0.46568 0.01086 0.02700 0.17245 4.95158 1.15300 1.16567 0.37152 0.69793 0.48786 0.15038 3.01744 0.51021
0.27551 35.46886 0.27551 35.46886 1.38281 31.09976 10.15214 5.45184 8.23936 8.14446 10.47453 4.77825 0.00003 0.41922 0.01355 0.02650 0.20718 6.94027 1.62051 1.61914 0.35742 0.67526 0.59892 0.13916 3.11455 0.51683
0.25094 34.65111 0.25094 34.65111 1.43722 30.14832 10.05732 5.30521 8.20824 8.21014 10.36897 4.56668 0.00003 0.39770 0.01337 0.02592 0.21952 8.67603 2.02747 2.02128 0.35785 0.67992 0.61812 0.15509 3.03662 0.53450
0.43555 31.43726 0.43555 31.43726 1.15522 27.43687 9.08728 4.86557 7.54381 7.53542 9.34743 4.19813 0.00003 0.37916 0.01243 0.02364 0.23908 10.35477 2.42775 2.42069 0.36614 0.69033 0.60324 0.15798 3.01588 0.53473
0.06329 23.62519 0.06329 23.62519 1.13320 20.48900 7.14595 3.66031 5.65534 5.65011 7.39718 3.13653 0.00003 0.37873 0.01205 0.02289 0.25438 11.72052 2.75734 2.74643 0.35190 0.66887 0.62866 0.14790 3.09763 0.53144
0.57844 27.06815 0.57844 27.06815 1.43034 23.58166 8.23773 4.10702 6.22398 6.42587 8.57714 3.45722 0.00003 0.39504 0.01177 0.02269 0.28059 12.95354 3.04350 3.03744 0.32168 0.63386 0.64167 0.14035 3.20951 0.53191
0.53596 28.61756 0.53596 28.61756 1.22991 25.00195 8.51740 4.40968 6.70406 6.86847 8.82303 3.75816 0.00003 0.38748 0.01099 0.02151 0.31706 14.36846 3.37330 3.37480 0.33854 0.65587 0.63051 0.14719 3.13916 0.52667
0.39559 26.39313 0.39559 26.39313 1.13601 22.91084 7.84047 4.07291 6.12418 6.27593 8.12974 3.48796 0.00003 0.37499 0.01018 0.02034 0.34382 15.75692 3.69668 3.70565 0.33716 0.65266 0.63384 0.14209 3.17912 0.52727
0.42827 22.84450 0.42827 22.84450 1.10318 19.83612 6.93988 3.52500 5.25869 5.42533 7.22324 3.00038 0.00003 0.35718 0.00962 0.01939 0.36768 16.98494 3.98050 3.99667 0.32765 0.63926 0.63902 0.13468 3.25302 0.52888
0.25617 20.35288 0.25617 20.35288 1.08161 17.71157 6.32236 3.13773 4.66171 4.84238 6.60225 2.64754 0.00003 0.33341 0.00930 0.01862 0.39273 18.06079 4.22748 4.25098 0.31817 0.62556 0.64957 0.13366 3.28044 0.52973
0.34562 19.02655 0.34562 19.02655 1.08289 16.50331 5.98977 2.91865 4.31171 4.50576 6.27260 2.44497 0.00003 0.30748 0.00915 0.01801 0.41903 19.03868 4.45079 4.48163 0.30899 0.61330 0.66050 0.12537 3.36260 0.52866
0.22683 18.11745 0.22683 18.11745 1.04495 15.66509 5.73545 2.77413 4.07835 4.27262 6.01475 2.31846 0.00003 0.28276 0.00908 0.01755 0.44765 19.96170 4.66057 4.69872 0.30472 0.60751 0.66318 0.12114 3.40404 0.52839
0.09520 17.02395 0.09520 17.02395 1.00605 14.68106 5.43005 2.60518 3.80928 4.00089 5.70322 2.17154 0.00003 0.26055 0.00905 0.01722 0.47659 20.83287 4.85792 4.90309 0.30088 0.60178 0.66564 0.11627 3.45705 0.52887
0.08010 15.80215 0.08010 15.80215 0.96480 13.60761 5.08861 2.41638 3.51665 3.70062 5.35355 2.00704 0.00003 0.24079 0.00908 0.01705 0.50523 21.64450 5.04117 5.09288 0.29673 0.59551 0.67013 0.10639 3.56722 0.53418
0.19151 14.47180 0.19151 14.47180 0.93669 12.44929 4.72449 2.21174 3.20243 3.37930 4.98102 1.82628 0.00003 0.22332 0.00916 0.01707 0.53333 22.38997 5.20918 5.26663 0.29172 0.58772 0.67272 0.10149 3.64296 0.53317
