min_wss max_wss min_wss_aneurysm max_wss_aneurysm min_wss_vessels max_wss_vessels mean_wss std_wss mean_wss_aneurysm std_wss_aneurysm mean_wss_vessels std_wss_vessels min_osi_aneurysm max_osi_aneurysm mean_osi_aneurysm std_osi_aneurysm min_tawss_aneurysm max_tawss_aneurysm mean_tawss_aneurysm std_tawss_aneurysm KER VDR LSA HSA SCI ICI
0.11256 30.47227 0.11256 30.47227 2.11617 28.20225 6.80033 3.75134 2.71986 4.32969 7.94109 2.60957 0.00000 0.08288 0.00122 0.00525 0.00300 0.89108 0.08012 0.12616 0.18966 0.51179 0.84317 0.03401 7.63750 0.46390
0.07756 68.27074 0.07756 68.27074 1.74622 63.00974 13.42986 8.18977 7.41948 10.67591 15.11016 6.40604 0.00000 0.42676 0.00837 0.03115 0.01328 3.32071 0.31814 0.48547 0.24169 0.69894 0.75011 0.07712 5.16454 0.47928
0.27079 64.81945 0.27079 64.81945 1.17525 60.96840 12.65976 7.97368 8.81692 10.71834 13.73409 6.62981 0.00000 0.46739 0.01633 0.03578 0.02877 6.87042 0.76354 1.05696 0.27012 0.85138 0.65045 0.09858 4.12761 0.48853
0.32432 49.67235 0.32432 49.67235 1.39722 46.35913 9.74543 5.91392 6.17288 7.76076 10.74418 4.83203 0.00000 0.37741 0.01497 0.03063 0.05199 9.66239 1.12996 1.50373 0.23091 0.76917 0.72878 0.08448 4.48920 0.48739
0.17435 48.54246 0.17435 48.54246 1.46595 45.21417 9.53057 5.74815 5.70602 7.53190 10.59978 4.60287 0.00000 0.43939 0.01351 0.02768 0.07107 12.09427 1.42197 1.87984 0.21462 0.72683 0.73886 0.07962 4.74009 0.48612
0.14122 43.74877 0.14122 43.74877 1.17426 40.73511 8.58587 5.24970 5.14053 6.84364 9.54907 4.23370 0.00000 0.41565 0.01231 0.02500 0.08708 14.43719 1.69733 2.24537 0.23100 0.71745 0.73389 0.08157 4.74987 0.48510
0.12106 33.43057 0.12106 33.43057 1.18659 31.11698 6.67154 3.97953 3.74276 5.04689 7.49033 3.17407 0.00000 0.38590 0.01117 0.02301 0.09665 16.34904 1.91882 2.54036 0.22507 0.66874 0.75016 0.07295 4.99220 0.47919
0.10080 38.05175 0.10080 38.05175 1.49783 35.28726 7.66565 4.51246 3.94811 5.66739 8.70495 3.48306 0.00000 0.37688 0.01073 0.02216 0.10749 18.09420 2.10378 2.79906 0.21054 0.63330 0.76991 0.06526 5.44518 0.47844
0.11511 40.32978 0.11511 40.32978 1.28914 37.43269 7.99724 4.80694 4.40902 6.14463 9.00038 3.79544 0.00000 0.40084 0.01032 0.02183 0.11620 20.08460 2.31591 3.09894 0.22661 0.66912 0.75126 0.07217 5.14038 0.48145
0.07487 37.20626 0.07487 37.20626 1.19019 34.58076 7.36849 4.43739 4.11137 5.65798 8.27907 3.52853 0.00000 0.40432 0.00969 0.02089 0.12388 22.04081 2.53153 3.39693 0.22782 0.67119 0.74784 0.07204 5.09414 0.47971
0.09439 32.33439 0.09439 32.33439 1.16594 30.05209 6.48049 3.84999 3.48290 4.83553 7.31851 3.03562 0.00000 0.39749 0.00918 0.02005 0.13268 23.77601 2.72124 3.65850 0.22152 0.64503 0.75578 0.06812 5.22179 0.47850
0.08194 28.83568 0.08194 28.83568 1.14876 26.79036 5.86371 3.44144 3.00279 4.25174 6.66352 2.67823 0.00000 0.39550 0.00889 0.01955 0.14065 25.30008 2.88266 3.88419 0.21617 0.61518 0.76906 0.06211 5.45083 0.47512
0.03380 26.84353 0.03380 26.84353 1.15340 24.92334 5.53363 3.21920 2.71698 3.92123 6.32106 2.47464 0.00000 0.40462 0.00879 0.01949 0.14728 26.68648 3.02487 4.08662 0.21407 0.59301 0.77886 0.05882 5.63670 0.47242
0.02867 25.48763 0.02867 25.48763 1.11569 23.65421 5.28940 3.06805 2.54629 3.70670 6.05628 2.34768 0.00000 0.41902 0.00887 0.01979 0.15337 27.99527 3.15636 4.27615 0.21457 0.58281 0.78486 0.05652 5.75115 0.47118
0.03767 23.91683 0.03767 23.91683 1.07821 22.19875 4.99944 2.88766 2.36822 3.46162 5.73504 2.20072 0.00000 0.43137 0.00904 0.02024 0.15916 29.23137 3.27931 4.45419 0.21438 0.57380 0.78932 0.05376 5.86571 0.47022
0.03080 22.14787 0.03080 22.14787 1.03726 20.56359 4.67371 2.68466 2.17119 3.18737 5.37332 2.03516 0.00000 0.43941 0.00925 0.02076 0.16458 30.38396 3.39287 4.61912 0.21347 0.56304 0.79622 0.05310 5.90538 0.46910
0.03838 20.23232 0.03838 20.23232 1.00777 18.79454 4.32627 2.46547 1.95934 2.89261 4.98798 1.85327 0.00000 0.44289 0.00953 0.02134 0.16956 31.44337 3.49615 4.76952 0.21189 0.54974 0.80538 0.04969 6.06213 0.46742
0.01570 19.01692 0.01570 19.01692 1.04618 17.67219 4.14153 2.33251 1.80683 2.70038 4.79423 1.72427 0.00000 0.44233 0.00989 0.02205 0.17407 32.41906 3.58980 4.90665 0.20788 0.53287 0.81806 0.04260 6.47666 0.46641
0.02137 18.91537 0.02137 18.91537 1.04777 17.57394 4.13879 2.32660 1.78196 2.68160 4.79768 1.71143 0.00000 0.43821 0.01040 0.02301 0.17832 33.36582 3.67924 5.03873 0.20644 0.52748 0.81898 0.04082 6.61158 0.46669
0.01921 18.82787 0.01921 18.82787 1.03641 17.48981 4.12045 2.31742 1.77378 2.67056 4.77649 1.70531 0.00000 0.42956 0.01096 0.02404 0.18247 34.30993 3.76818 5.17049 0.20694 0.52728 0.81898 0.04082 6.61162 0.46643
0.01570 18.82787 0.01570 18.82787 1.00777 17.48981 4.12045 2.31742 1.77378 2.67056 4.77649 1.70531 0.00000 0.08288 0.00122 0.00525 0.00300 0.89108 0.08012 0.12616 0.18966 0.51179 0.65045 0.03401 4.12761 0.46390
0.32432 68.27074 0.32432 68.27074 2.11617 63.00974 13.42986 8.18977 8.81692 10.71834 15.11016 6.62981 0.00000 0.46739 0.01633 0.03578 0.18247 34.30993 3.76818 5.17049 0.27012 0.85138 0.84317 0.09858 7.63750 0.48853
0.09573 34.55514 0.09573 34.55514 1.25381 32.13097 7.00111 4.15779 3.78986 5.23432 7.89886 3.25307 0.00000 0.40089 0.01017 0.02268 0.11508 20.93780 2.36359 3.19985 0.21977 0.63141 0.77000 0.06321 5.55871 0.47563
0.08076 14.17194 0.08076 14.17194 0.26950 13.22037 2.64010 1.70061 1.93276 2.38217 2.85157 1.43050 0.00000 0.07674 0.00293 0.00589 0.05496 10.08023 1.11709 1.52374 0.01599 0.08873 0.04194 0.01659 0.81895 0.00759
