min_wss max_wss min_wss_aneurysm max_wss_aneurysm min_wss_vessels max_wss_vessels mean_wss std_wss mean_wss_aneurysm std_wss_aneurysm mean_wss_vessels std_wss_vessels min_osi_aneurysm max_osi_aneurysm mean_osi_aneurysm std_osi_aneurysm min_tawss_aneurysm max_tawss_aneurysm mean_tawss_aneurysm std_tawss_aneurysm KER VDR LSA HSA SCI ICI
0.32628 27.67255 0.32628 27.67255 1.84429 24.92928 6.85604 3.67457 2.67688 3.99865 7.96865 2.63681 0.00000 0.02304 0.00042 0.00114 0.00729 0.80837 0.07940 0.11676 0.05735 0.32067 0.85751 0.03151 7.14581 0.46473
0.10394 63.27125 0.10394 63.27125 1.35310 53.95925 13.46350 7.90436 7.23334 9.70602 15.12214 6.39902 0.00000 0.24433 0.00341 0.00975 0.02463 3.03942 0.31331 0.44635 0.10741 0.46398 0.79176 0.05483 5.36052 0.48204
0.14251 60.06925 0.14251 60.06925 0.90672 52.72931 12.50950 7.61394 8.07467 9.31485 13.69018 6.60880 0.00000 0.40317 0.01614 0.03777 0.06060 6.33382 0.73176 0.95447 0.13546 0.58164 0.60679 0.05944 4.68146 0.46356
0.06895 44.98385 0.06895 44.98385 1.11810 39.99467 9.64785 5.68814 5.57794 6.67162 10.73137 4.85129 0.00000 0.46032 0.01670 0.03829 0.07669 8.89297 1.06766 1.33698 0.11402 0.49984 0.75930 0.04710 5.17591 0.45720
0.02670 43.99580 0.02670 43.99580 1.16084 38.77732 9.42569 5.54743 5.03603 6.45299 10.59434 4.62441 0.00000 0.45721 0.01507 0.03655 0.08377 11.08708 1.32596 1.65860 0.10080 0.45845 0.80084 0.04450 5.56307 0.46065
0.07377 40.09756 0.07377 40.09756 0.91459 35.37686 8.52691 5.06036 4.70873 5.94996 9.54341 4.25267 0.00000 0.44730 0.01341 0.03395 0.09340 13.22791 1.57413 1.97417 0.10902 0.47197 0.79163 0.04600 5.43808 0.46452
0.08519 30.24132 0.08519 30.24132 0.97216 27.23718 6.64271 3.85672 3.45443 4.41277 7.49152 3.19741 0.00000 0.44816 0.01231 0.03239 0.09865 14.97123 1.77820 2.23132 0.09621 0.43940 0.81072 0.04407 5.54494 0.46045
0.07559 34.43865 0.07559 34.43865 1.23160 30.73529 7.64867 4.38719 3.64172 4.99000 8.71542 3.51143 0.00000 0.42255 0.01173 0.03101 0.10856 16.54512 1.94794 2.45781 0.08303 0.40292 0.82477 0.04198 5.94046 0.46785
0.15977 36.88553 0.15977 36.88553 1.04366 32.43585 7.98381 4.65471 4.15755 5.47603 9.00247 3.80997 0.00000 0.38807 0.01120 0.02947 0.12328 18.36003 2.14690 2.72400 0.09806 0.44013 0.80545 0.04910 5.51674 0.47148
0.08207 33.90530 0.08207 33.90530 0.96118 30.14117 7.34917 4.29635 3.84580 4.99803 8.28187 3.54752 0.00000 0.36525 0.01042 0.02775 0.13293 20.14642 2.34913 2.98841 0.09812 0.44251 0.80559 0.04536 5.56783 0.46594
0.10750 29.28122 0.10750 29.28122 0.95355 26.25560 6.46897 3.73716 3.25940 4.27535 7.32345 3.05707 0.00000 0.33926 0.00982 0.02642 0.14231 21.72294 2.52667 3.21947 0.09137 0.42434 0.81334 0.04375 5.65640 0.46658
0.06666 26.04920 0.06666 26.04920 0.94965 23.45601 5.86449 3.35040 2.83004 3.78513 6.67234 2.70098 0.00000 0.32534 0.00944 0.02537 0.15200 23.10082 2.67809 3.41965 0.08456 0.40433 0.82014 0.04318 5.76184 0.46815
0.07913 24.27661 0.07913 24.27661 0.96204 21.89324 5.54713 3.13925 2.59557 3.52308 6.33291 2.49747 0.00000 0.31728 0.00925 0.02464 0.16253 24.35379 2.81303 3.60078 0.08015 0.39034 0.82668 0.04134 5.90537 0.46736
0.06322 23.08330 0.06322 23.08330 0.93295 20.82659 5.31039 2.99413 2.45907 3.35376 6.06948 2.36990 0.00000 0.30621 0.00922 0.02422 0.17363 25.53839 2.93936 3.77185 0.07877 0.38499 0.82716 0.04155 5.91800 0.46843
0.02324 21.65442 0.02324 21.65442 0.90414 19.58547 5.02379 2.82026 2.30089 3.14459 5.74870 2.22250 0.00000 0.29518 0.00923 0.02396 0.18462 26.65784 3.05848 3.93350 0.07717 0.37948 0.82864 0.04053 5.97065 0.46698
0.02835 20.03662 0.02835 20.03662 0.87230 18.18584 4.70043 2.62439 2.12057 2.90543 5.38726 2.05670 0.00000 0.28480 0.00929 0.02385 0.19541 27.70097 3.16909 4.08382 0.07495 0.37230 0.83286 0.03786 6.11573 0.46824
0.03742 18.29194 0.03742 18.29194 0.85255 16.66924 4.35529 2.41251 1.92592 2.64790 5.00206 1.87444 0.00000 0.28352 0.00942 0.02394 0.20611 28.65906 3.27027 4.22149 0.07212 0.36328 0.83813 0.03449 6.30968 0.46938
0.07810 17.18742 0.07810 17.18742 0.89308 15.71381 4.17347 2.28450 1.78651 2.48300 4.80894 1.74537 0.00000 0.28698 0.00965 0.02428 0.21690 29.54095 3.36260 4.34763 0.06775 0.35017 0.84165 0.03260 6.49325 0.46936
0.11354 17.11765 0.11354 17.11765 0.89439 15.64128 4.17413 2.27898 1.77357 2.47605 4.81322 1.73253 0.00000 0.29156 0.01000 0.02495 0.22862 30.39704 3.45131 4.46969 0.06670 0.34702 0.84165 0.03223 6.54165 0.47036
0.11005 17.05872 0.11005 17.05872 0.88478 15.57045 4.15749 2.26954 1.77336 2.47178 4.79221 1.72610 0.00000 0.29811 0.01036 0.02571 0.24089 31.25203 3.54007 4.59191 0.06724 0.34851 0.84165 0.03383 6.44713 0.47061
0.02324 17.05872 0.02324 17.05872 0.85255 15.57045 4.15749 2.26954 1.77336 2.47178 4.79221 1.72610 0.00000 0.02304 0.00042 0.00114 0.00729 0.80837 0.07940 0.11676 0.05735 0.32067 0.60679 0.03151 4.68146 0.45720
