min_wss max_wss min_wss_aneurysm max_wss_aneurysm min_wss_vessels max_wss_vessels mean_wss std_wss mean_wss_aneurysm std_wss_aneurysm mean_wss_vessels std_wss_vessels min_osi_aneurysm max_osi_aneurysm mean_osi_aneurysm std_osi_aneurysm min_tawss_aneurysm max_tawss_aneurysm mean_tawss_aneurysm std_tawss_aneurysm KER VDR LSA HSA SCI ICI
0.32506 29.04974 0.32506 29.04974 1.90114 25.73300 6.92513 3.55952 3.00823 4.39715 7.84457 2.58051 0.00000 0.01299 0.00063 0.00125 0.00822 0.85246 0.08805 0.12915 0.08115 0.41978 0.83800 0.04085 6.58139 0.46702
0.31553 65.64264 0.31553 65.64264 1.61781 59.34485 13.31124 7.83040 7.85968 10.33100 14.59091 6.48390 0.00001 0.46108 0.00504 0.01558 0.03772 3.16750 0.34750 0.48259 0.14296 0.56318 0.73479 0.07298 4.79727 0.46358
0.21388 63.05370 0.21388 63.05370 1.06720 58.19175 12.25297 7.54144 8.34862 9.68944 13.16946 6.61567 0.00005 0.47534 0.01322 0.03384 0.07591 6.61811 0.79117 1.01444 0.17569 0.63150 0.66097 0.07351 4.30413 0.45038
0.08312 47.47966 0.08312 47.47966 1.28824 43.27054 9.64187 5.62331 5.93810 7.12644 10.51128 4.81114 0.00005 0.42194 0.01477 0.03635 0.09810 9.31658 1.14019 1.41351 0.13361 0.57832 0.71512 0.06968 4.48376 0.45678
0.18591 46.07993 0.18591 46.07993 1.33059 41.26699 9.41096 5.50457 5.32746 6.99140 10.36950 4.59414 0.00005 0.36663 0.01401 0.03350 0.12818 11.62643 1.41627 1.76000 0.11930 0.53446 0.74549 0.05886 5.16986 0.45278
0.15958 41.98075 0.15958 41.98075 1.04011 37.55489 8.50579 5.00471 4.91846 6.31309 9.34786 4.22389 0.00004 0.34526 0.01250 0.03059 0.14549 13.86440 1.67638 2.09744 0.12427 0.55037 0.73496 0.05869 5.11340 0.45626
0.04976 31.88491 0.04976 31.88491 1.04894 28.44978 6.68475 3.81899 3.58195 4.72012 7.41309 3.16039 0.00004 0.31207 0.01150 0.02869 0.15155 15.69609 1.88884 2.37055 0.10414 0.51393 0.77002 0.05178 5.48557 0.45266
0.17034 36.31432 0.17034 36.31432 1.33119 32.31038 7.69481 4.32559 3.94355 5.43207 8.57536 3.47819 0.00004 0.31173 0.01123 0.02832 0.16288 17.35742 2.06821 2.61386 0.10050 0.49287 0.79858 0.05181 5.68270 0.46488
0.12848 38.34199 0.12848 38.34199 1.13608 34.06749 7.99063 4.59319 4.42856 5.86678 8.82678 3.78058 0.00004 0.32859 0.01082 0.02776 0.17781 19.25171 2.28254 2.90074 0.11585 0.52957 0.75943 0.06225 5.14421 0.46083
0.05059 35.55764 0.05059 35.55764 1.04928 31.63352 7.37485 4.24890 4.06864 5.36930 8.15093 3.51502 0.00003 0.32224 0.01030 0.02677 0.18544 21.11710 2.49684 3.18356 0.11207 0.52726 0.75685 0.05631 5.32474 0.46048
