min_wss max_wss min_wss_aneurysm max_wss_aneurysm min_wss_vessels max_wss_vessels mean_wss std_wss mean_wss_aneurysm std_wss_aneurysm mean_wss_vessels std_wss_vessels min_osi_aneurysm max_osi_aneurysm mean_osi_aneurysm std_osi_aneurysm min_tawss_aneurysm max_tawss_aneurysm mean_tawss_aneurysm std_tawss_aneurysm KER VDR LSA HSA SCI ICI
0.22666 23.84380 0.22666 23.84380 2.26030 23.35112 7.03513 3.52744 2.95535 4.21218 7.94435 2.59339 0.00000 0.17796 0.00199 0.00975 0.00798 0.69126 0.08678 0.12371 0.11462 0.40052 0.83793 0.03430 6.87783 0.45505
0.07843 56.89784 0.07843 56.89784 2.06560 52.81570 13.50057 7.73043 7.73693 9.87734 14.78505 6.50245 0.00003 0.26070 0.00754 0.01747 0.03085 2.65123 0.34071 0.46148 0.15713 0.53781 0.78768 0.06825 4.92689 0.46766
0.35049 54.59633 0.35049 54.59633 1.34251 50.97073 12.50109 7.48115 8.85281 9.76481 13.31415 6.60024 0.00008 0.44138 0.01603 0.03777 0.08062 5.66341 0.79302 0.97684 0.22566 0.65324 0.57777 0.09078 4.00674 0.47517
0.23704 40.17711 0.23704 40.17711 1.63691 39.63916 9.86542 5.60835 6.27785 7.26084 10.66495 4.81732 0.00006 0.37390 0.01912 0.04042 0.14374 7.95990 1.16698 1.38598 0.19008 0.59616 0.76607 0.08630 4.25667 0.46500
0.10926 39.54837 0.10926 39.54837 1.66112 38.72595 9.55261 5.46047 5.28325 6.78243 10.50408 4.60895 0.00006 0.42628 0.01940 0.03928 0.20301 9.92108 1.44853 1.73085 0.14746 0.52236 0.79216 0.06200 5.10007 0.45921
0.19115 35.62736 0.19115 35.62736 1.29793 33.91709 8.62599 4.95135 4.93910 6.13895 9.44765 4.22801 0.00005 0.44570 0.01857 0.03734 0.23500 11.82790 1.70684 2.05673 0.15555 0.54050 0.78851 0.06485 4.91219 0.46101
0.20753 26.55046 0.20753 26.55046 1.28138 25.66412 6.80410 3.78054 3.70253 4.67222 7.49532 3.16087 0.00005 0.43415 0.01724 0.03521 0.25275 13.36448 1.92331 2.32452 0.14744 0.51452 0.79449 0.06526 4.95034 0.45914
0.08060 30.23467 0.08060 30.23467 1.63459 29.60074 7.82787 4.28798 3.97740 5.30580 8.68599 3.48857 0.00005 0.39016 0.01680 0.03474 0.28230 14.73884 2.10772 2.56491 0.13406 0.47724 0.81076 0.06077 5.29597 0.46452
0.10152 32.20120 0.10152 32.20120 1.41768 30.92671 8.11109 4.54404 4.40354 5.64892 8.93736 3.79372 0.00005 0.35135 0.01618 0.03426 0.31395 16.32136 2.32089 2.84245 0.14461 0.51302 0.79423 0.06473 5.04081 0.46062
0.06096 29.67165 0.06096 29.67165 1.29954 28.66554 7.49066 4.20466 4.09104 5.20735 8.24829 3.52509 0.00005 0.34586 0.01523 0.03297 0.33646 17.88078 2.53554 3.11578 0.14616 0.51504 0.79118 0.06636 4.95993 0.46309
0.13507 25.52577 0.13507 25.52577 1.26391 24.90214 6.62833 3.66049 3.46950 4.48805 7.33231 3.02936 0.00005 0.35489 0.01455 0.03209 0.35424 19.25264 2.72443 3.35706 0.13916 0.49563 0.79857 0.06139 5.14368 0.46059
0.12443 22.59694 0.12443 22.59694 1.23575 22.13820 6.02695 3.27842 3.00686 3.97379 6.70001 2.67180 0.00005 0.37933 0.01427 0.03191 0.36234 20.44571 2.88550 3.56624 0.13206 0.47466 0.80917 0.05080 5.54600 0.45835
0.06429 20.98803 0.06429 20.98803 1.23779 20.56153 5.71013 3.06713 2.76317 3.69870 6.36689 2.46743 0.00005 0.42491 0.01424 0.03223 0.37377 21.52774 3.02896 3.75489 0.12863 0.46184 0.81467 0.04671 5.76297 0.45715
0.03630 19.90529 0.03630 19.90529 1.19850 19.49291 5.47332 2.92330 2.62224 3.51972 6.10871 2.33967 0.00005 0.46757 0.01433 0.03273 0.38707 22.55042 3.16358 3.93274 0.12810 0.45805 0.81214 0.04684 5.77962 0.45627
0.03690 18.63209 0.03690 18.63209 1.15390 18.28136 5.18543 2.75264 2.45431 3.30335 5.79408 2.19112 0.00005 0.49133 0.01444 0.03309 0.40053 23.51463 3.29062 4.10063 0.12740 0.45381 0.81168 0.04627 5.81409 0.45718
0.04502 17.21251 0.04502 17.21251 1.10962 16.93271 4.86244 2.56182 2.26433 3.06092 5.44146 2.02433 0.00005 0.45856 0.01457 0.03296 0.41375 24.41141 3.40866 4.25673 0.12652 0.44723 0.81108 0.04563 5.85963 0.45593
0.05514 15.67710 0.05514 15.67710 1.07681 15.46673 4.51686 2.35474 2.05961 2.79990 5.06448 1.84061 0.00005 0.42781 0.01479 0.03296 0.42688 25.23347 3.51674 4.39966 0.12562 0.43875 0.81134 0.04131 6.10466 0.45681
0.04382 14.69621 0.04382 14.69621 1.11071 14.53387 4.33300 2.22530 1.91965 2.63651 4.87084 1.70854 0.00005 0.40585 0.01513 0.03313 0.43991 25.98830 3.61567 4.53060 0.12398 0.42640 0.81497 0.03679 6.44894 0.45554
0.06468 14.62882 0.06468 14.62882 1.11522 14.45288 4.33304 2.21708 1.91347 2.63073 4.87226 1.69502 0.00005 0.42044 0.01553 0.03352 0.45177 26.72034 3.71128 4.65752 0.12421 0.42435 0.81497 0.03679 6.45718 0.46172
0.06180 14.56815 0.06180 14.56815 1.10425 14.37423 4.31484 2.20728 1.91116 2.62152 4.85052 1.68871 0.00005 0.43509 0.01588 0.03395 0.46407 27.45073 3.80699 4.78462 0.12469 0.42582 0.81412 0.03760 6.40087 0.46178
0.03630 14.56815 0.03630 14.56815 1.07681 14.37423 4.31484 2.20728 1.91116 2.62152 4.85052 1.68871 0.00000 0.17796 0.00199 0.00975 0.00798 0.69126 0.08678 0.12371 0.11462 0.40052 0.57777 0.03430 4.00674 0.45505
0.35049 56.89784 0.35049 56.89784 2.26030 52.81570 13.50057 7.73043 8.85281 9.87734 14.78505 6.60024 0.00008 0.49133 0.01940 0.04042 0.46407 27.45073 3.80699 4.78462 0.22566 0.65324 0.83793 0.09078 6.87783 0.47517
0.11556 27.68898 0.11556 27.68898 1.37520 26.77067 7.13494 3.94123 3.83020 4.88020 7.87144 3.24876 0.00005 0.39566 0.01479 0.03239 0.29805 16.90578 2.37914 2.94620 0.14216 0.48885 0.79268 0.05569 5.48225 0.46059
0.08279 12.18059 0.08279 12.18059 0.31642 11.25526 2.57166 1.59407 1.90937 2.12852 2.72934 1.44214 0.00001 0.07139 0.00379 0.00680 0.13719 8.05065 1.11721 1.40454 0.02526 0.06084 0.05147 0.01561 0.73642 0.00474
