min_wss max_wss min_wss_aneurysm max_wss_aneurysm min_wss_vessels max_wss_vessels mean_wss std_wss mean_wss_aneurysm std_wss_aneurysm mean_wss_vessels std_wss_vessels min_osi_aneurysm max_osi_aneurysm mean_osi_aneurysm std_osi_aneurysm min_tawss_aneurysm max_tawss_aneurysm mean_tawss_aneurysm std_tawss_aneurysm KER VDR LSA HSA SCI ICI
0.00464 18.58941 0.00464 18.58941 1.16689 15.33931 4.45153 2.38863 1.78325 3.20145 5.06823 1.62158 0.00000 0.03793 0.00317 0.00622 0.00000 0.00000 0.00000 0.00000 0.11324 0.29235 0.82004 0.03679 8.84863 0.40372
0.00193 20.75998 0.00193 20.75998 1.48914 17.19953 5.02832 2.65428 2.01649 3.60723 5.72443 1.75641 0.00000 0.06799 0.00565 0.01175 0.00000 0.00000 0.00000 0.00000 0.11221 0.29295 0.82136 0.03721 8.77008 0.40112
0.00278 24.55428 0.00278 24.55428 1.69360 20.59513 5.88894 3.14349 2.43643 4.31844 6.68690 2.11269 0.00000 0.11854 0.00600 0.01342 0.00000 0.00000 0.00000 0.00000 0.11283 0.29702 0.81127 0.03760 8.53741 0.39899
0.01130 30.51808 0.01130 30.51808 1.88826 25.90139 7.12680 3.91508 3.07169 5.42038 8.06404 2.72047 0.00001 0.13800 0.00552 0.01270 0.00000 0.00000 0.00000 0.00000 0.11575 0.30357 0.80485 0.04198 7.89063 0.39384
0.01289 38.26501 0.01289 38.26501 1.85697 32.74150 8.53357 4.91668 3.90932 6.89138 9.60235 3.56371 0.00001 0.10455 0.00625 0.01101 0.00000 0.00000 0.00000 0.00000 0.12321 0.31538 0.79176 0.07013 6.22501 0.38790
0.01229 48.29629 0.01229 48.29629 2.11244 41.52945 10.41890 6.19016 4.96030 8.75548 11.68051 4.58022 0.00001 0.33250 0.01204 0.02008 0.00000 0.00000 0.00000 0.00000 0.12834 0.32374 0.78805 0.08514 5.80636 0.38485
0.02660 58.71853 0.02660 58.71853 2.02561 51.07991 12.20238 7.58044 6.22212 10.75188 13.58456 5.81802 0.00001 0.43691 0.03852 0.05477 0.00000 0.00000 0.00000 0.00000 0.13677 0.34021 0.78054 0.09955 5.41550 0.38396
0.09731 67.62271 0.09731 67.62271 1.98943 59.40626 13.70852 8.75256 7.36601 12.42968 15.17442 6.86721 0.00001 0.49041 0.07352 0.11150 0.00000 0.00000 0.00000 0.00000 0.14308 0.35691 0.77373 0.10941 5.16001 0.38450
0.19516 71.83390 0.19516 71.83390 1.69924 63.75547 14.36423 9.36814 8.04118 13.24269 15.82565 7.49250 0.00002 0.46946 0.06613 0.09500 0.00000 0.00000 0.00000 0.00000 0.14812 0.37369 0.76532 0.11321 5.00396 0.38315
0.27001 70.41558 0.27001 70.41558 1.41678 62.81089 13.96776 9.19841 7.94251 12.92347 15.36034 7.43203 0.00004 0.44730 0.05002 0.06893 0.00000 0.00000 0.00000 0.00000 0.14898 0.38157 0.76372 0.11740 4.90809 0.38708
0.29939 65.34793 0.29939 65.34793 1.30635 58.07242 12.93247 8.49628 7.27760 11.89720 14.23945 6.85987 0.00004 0.39940 0.04007 0.05515 0.00000 0.00000 0.00000 0.00000 0.14681 0.37928 0.76427 0.11343 4.98349 0.38951
0.19192 59.62614 0.19192 59.62614 1.27091 52.64614 11.84548 7.71593 6.50655 10.79089 13.07944 6.18645 0.00003 0.36022 0.03435 0.04796 0.00000 0.00000 0.00000 0.00000 0.14300 0.36984 0.76955 0.11032 5.09012 0.38908
0.15773 53.89252 0.15773 53.89252 1.19863 47.25661 10.76798 6.95385 5.73780 9.65734 11.93058 5.54769 0.00003 0.34783 0.03078 0.04372 0.00000 0.00000 0.00000 0.00000 0.13871 0.35851 0.77410 0.10485 5.23407 0.39051
0.12074 49.40998 0.12074 49.40998 1.29702 43.00875 9.98065 6.34703 5.13985 8.79733 11.09947 5.00404 0.00003 0.37617 0.02846 0.04107 0.00000 0.00000 0.00000 0.00000 0.13466 0.34662 0.77799 0.09467 5.47555 0.39118
0.05658 46.68434 0.05658 46.68434 1.33589 40.42352 9.52743 5.99476 4.80841 8.32014 10.61812 4.68050 0.00003 0.40056 0.02686 0.03929 0.00000 0.00000 0.00000 0.00000 0.13291 0.33887 0.77957 0.09169 5.58645 0.39017
0.02259 44.92054 0.02259 44.92054 1.34606 38.74023 9.22800 5.76388 4.57468 7.98080 10.30350 4.47420 0.00003 0.41438 0.02567 0.03791 0.00000 0.00000 0.00000 0.00000 0.13112 0.33305 0.78326 0.08894 5.68070 0.38958
