min_wss max_wss min_wss_aneurysm max_wss_aneurysm min_wss_vessels max_wss_vessels mean_wss std_wss mean_wss_aneurysm std_wss_aneurysm mean_wss_vessels std_wss_vessels min_osi_aneurysm max_osi_aneurysm mean_osi_aneurysm std_osi_aneurysm min_tawss_aneurysm max_tawss_aneurysm mean_tawss_aneurysm std_tawss_aneurysm KER VDR LSA HSA SCI ICI
0.04785 19.23265 0.04785 19.23265 1.20783 17.49197 3.94115 2.67958 1.13823 2.42034 5.16620 1.68035 0.00000 0.00188 0.00027 0.00021 0.00000 0.00000 0.00000 0.00000 0.07821 0.21945 0.89420 0.02924 10.20005 0.45838
0.05055 21.49420 0.05055 21.49420 1.55382 19.65223 4.48118 3.01902 1.24948 2.71282 5.89363 1.82262 0.00000 0.02192 0.00025 0.00054 0.00000 0.00000 0.00000 0.00000 0.07370 0.21167 0.89664 0.02616 10.88422 0.45228
0.05835 25.50983 0.05835 25.50983 1.69440 23.49522 5.27294 3.58269 1.49588 3.28504 6.92374 2.18377 0.00000 0.03983 0.00043 0.00105 0.00000 0.00000 0.00000 0.00000 0.07366 0.21102 0.89456 0.03201 10.28531 0.45006
0.07194 32.05294 0.07194 32.05294 1.77147 29.52364 6.41364 4.43740 1.90709 4.20710 8.38326 2.79375 0.00000 0.03656 0.00059 0.00148 0.00000 0.00000 0.00000 0.00000 0.07631 0.21720 0.88750 0.03797 9.79958 0.44847
0.09753 40.76486 0.09753 40.76486 1.69620 37.41371 7.74248 5.51408 2.52384 5.52010 10.02333 3.64292 0.00000 0.04418 0.00092 0.00228 0.00000 0.00000 0.00000 0.00000 0.08495 0.23682 0.88006 0.04665 9.18055 0.45548
0.12420 52.33711 0.12420 52.33711 2.04023 47.94049 9.62375 6.94526 3.35903 7.21987 12.36180 4.67829 0.00000 0.05237 0.00184 0.00392 0.00000 0.00000 0.00000 0.00000 0.09129 0.25726 0.87201 0.04985 8.86392 0.46204
0.05353 63.84302 0.05353 63.84302 1.73807 58.67705 11.36223 8.41752 4.44689 9.13615 14.38464 5.94183 0.00000 0.11704 0.00376 0.00843 0.00000 0.00000 0.00000 0.00000 0.10402 0.29419 0.85973 0.05716 8.17093 0.47029
0.08207 73.57207 0.08207 73.57207 1.54207 67.82941 12.86296 9.63214 5.54899 10.74849 16.05959 7.01682 0.00000 0.21703 0.00754 0.01976 0.00000 0.00000 0.00000 0.00000 0.11559 0.33316 0.84653 0.06135 7.56932 0.47770
0.08253 78.11096 0.08253 78.11096 1.21965 72.20546 13.51873 10.20059 6.34519 11.58047 16.65398 7.65476 0.00000 0.36769 0.01186 0.03133 0.00000 0.00000 0.00000 0.00000 0.12768 0.37090 0.82921 0.06396 7.07281 0.48095
0.04608 76.25607 0.04608 76.25607 0.88880 70.65804 13.10428 9.90411 6.45940 11.28777 16.00848 7.58573 0.00000 0.46334 0.01629 0.04051 0.00000 0.00000 0.00000 0.00000 0.13622 0.39453 0.82084 0.06514 6.76265 0.48386
