min_wss max_wss min_wss_aneurysm max_wss_aneurysm min_wss_vessels max_wss_vessels mean_wss std_wss mean_wss_aneurysm std_wss_aneurysm mean_wss_vessels std_wss_vessels min_osi_aneurysm max_osi_aneurysm mean_osi_aneurysm std_osi_aneurysm min_tawss_aneurysm max_tawss_aneurysm mean_tawss_aneurysm std_tawss_aneurysm KER VDR LSA HSA SCI ICI
0.22813 26.74489 0.22813 26.74489 2.05012 21.73338 6.93246 3.64408 2.78245 4.44684 7.98608 2.47944 0.00000 0.06508 0.00032 0.00164 0.00712 0.77872 0.08174 0.12951 0.18197 0.34493 0.82316 0.03661 7.51062 0.41764
0.69614 63.16195 0.69614 63.16195 1.62702 44.67988 13.67622 8.06030 7.44197 10.99795 15.25900 6.19528 0.00000 0.07771 0.00231 0.00392 0.03008 2.97188 0.32372 0.49898 0.27705 0.45414 0.75615 0.08462 5.08701 0.43397
0.19437 60.24202 0.19437 60.24202 1.06003 44.75401 12.69093 7.90728 8.03834 10.76634 13.87215 6.48685 0.00000 0.10404 0.00739 0.01084 0.06149 6.28902 0.74888 1.08410 0.33739 0.52749 0.69082 0.09072 4.62010 0.42323
0.09966 44.97843 0.09966 44.97843 1.27858 34.30608 9.72242 5.81089 5.48674 7.58775 10.79780 4.69156 0.00000 0.18857 0.00804 0.01352 0.07731 8.84962 1.07794 1.52581 0.29650 0.47735 0.74125 0.07354 5.08124 0.41640
0.34877 43.98241 0.34877 43.98241 1.34748 33.10612 9.55141 5.63861 5.18346 7.40740 10.66037 4.45664 0.00000 0.17806 0.00690 0.01201 0.09289 11.04631 1.33900 1.89384 0.27997 0.45862 0.75233 0.07259 5.21877 0.42455
0.27710 40.04182 0.27710 40.04182 1.07924 30.16798 8.64896 5.16447 4.82008 6.81229 9.62105 4.12240 0.00000 0.16593 0.00593 0.01062 0.10898 13.18340 1.59376 2.25601 0.29006 0.46966 0.74670 0.07500 5.10946 0.42613
0.20167 30.07463 0.20167 30.07463 1.11692 23.52169 6.72699 3.91499 3.52475 5.03205 7.54000 3.08631 0.00000 0.15888 0.00533 0.00981 0.12051 14.92240 1.80209 2.54996 0.26735 0.44612 0.76105 0.06658 5.35747 0.42523
0.34317 34.04402 0.34317 34.04402 1.41095 26.44527 7.75069 4.41615 3.79100 5.67266 8.75600 3.36045 0.00000 0.14794 0.00505 0.00924 0.13363 16.48167 1.97762 2.80800 0.24297 0.41513 0.78202 0.06173 5.70968 0.42510
0.31932 36.60400 0.31932 36.60400 1.21324 27.68146 8.09662 4.72570 4.26544 6.20873 9.06930 3.68001 0.00000 0.13636 0.00481 0.00872 0.15104 18.27836 2.18294 3.11014 0.26657 0.44346 0.75735 0.07285 5.27414 0.42477
0.26203 33.66926 0.26203 33.66926 1.11607 25.86546 7.44845 4.36530 3.93678 5.68845 8.34001 3.42822 0.00000 0.12757 0.00446 0.00810 0.16548 20.05243 2.39027 3.41065 0.26936 0.44662 0.75689 0.07054 5.29800 0.42622
