min_wss max_wss min_wss_aneurysm max_wss_aneurysm min_wss_vessels max_wss_vessels mean_wss std_wss mean_wss_aneurysm std_wss_aneurysm mean_wss_vessels std_wss_vessels min_osi_aneurysm max_osi_aneurysm mean_osi_aneurysm std_osi_aneurysm min_tawss_aneurysm max_tawss_aneurysm mean_tawss_aneurysm std_tawss_aneurysm KER VDR LSA HSA SCI ICI
0.14773 21.72790 0.14773 21.72790 1.96923 18.54126 7.47756 3.26208 4.70038 5.11491 7.94663 2.54891 0.00000 0.14133 0.00031 0.00459 0.00545 0.63623 0.13748 0.14971 0.26711 0.54819 0.70748 0.08918 3.95212 0.51652
1.23912 49.44226 1.23912 49.44226 1.46202 42.76296 14.64368 7.50308 11.98649 12.25533 15.09248 6.24844 0.00000 0.37654 0.00255 0.01375 0.06735 2.38165 0.53684 0.56602 0.38007 0.68062 0.61708 0.16122 3.06946 0.53818
0.16940 45.83542 0.16940 45.83542 1.02023 41.63843 13.56483 7.56745 12.96098 12.11349 13.66681 6.48712 0.00000 0.33350 0.00911 0.01932 0.13630 4.93890 1.21262 1.21352 0.47555 0.78527 0.45439 0.18839 2.75286 0.54523
0.17912 34.82183 0.17912 34.82183 1.25388 30.84937 10.68818 5.55515 10.22786 8.93845 10.76593 4.74717 0.00001 0.29190 0.01667 0.03223 0.20873 6.88331 1.77863 1.71391 0.51816 0.81979 0.44063 0.18950 2.61481 0.55562
0.36555 34.51313 0.36555 34.51313 1.34389 30.41403 10.60740 5.35829 10.12303 8.68921 10.68921 4.55653 0.00001 0.40878 0.02075 0.04214 0.27306 8.59532 2.28317 2.14100 0.51611 0.82421 0.43222 0.19319 2.56254 0.55114
0.26358 31.47193 0.26358 31.47193 1.05599 27.78456 9.54552 4.93062 9.07759 7.97990 9.62455 4.19745 0.00000 0.48902 0.02163 0.04778 0.29467 10.27049 2.77172 2.55983 0.49922 0.81218 0.43510 0.19139 2.61510 0.55607
0.26388 23.97488 0.26388 23.97488 1.09811 21.08966 7.39058 3.71020 6.54985 6.00567 7.53258 3.13992 0.00000 0.48877 0.02087 0.04812 0.30860 11.64489 3.16051 2.90508 0.44836 0.76000 0.52488 0.17733 2.76056 0.55445
0.22887 27.36780 0.22887 27.36780 1.38624 23.70958 8.47869 4.13952 6.90512 6.75885 8.74447 3.43878 0.00000 0.48468 0.01986 0.04661 0.33831 12.89705 3.48598 3.21483 0.38440 0.69038 0.59574 0.16069 2.97120 0.53723
0.23237 29.06398 0.23237 29.06398 1.15464 25.00645 8.76741 4.45754 7.28382 7.22934 9.01798 3.73682 0.00000 0.46793 0.01888 0.04495 0.37322 14.33187 3.84606 3.56946 0.39191 0.69875 0.59684 0.16466 2.98733 0.53411
0.16768 26.66511 0.16768 26.66511 1.08319 23.01232 8.05009 4.11762 6.68494 6.62880 8.28066 3.46827 0.00000 0.45325 0.01799 0.04355 0.40148 15.73733 4.19847 3.91835 0.39256 0.69849 0.59721 0.16327 2.99626 0.53771
